sentiment,char_length,letters,numbers,spaces,questions,exclamations,others,number_owords,positive_score,negative_score,hashtags,name_mentions,urls,emoji_positive,emoji_negative
0,121.0,92.0,0.0,29.0,0.0,0.0,0.0,22.0,2.0,-5.0,0,0,0,0,0
0,19.0,7.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0,-8.0,0,0,0,0,0
0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,-3.0,0,0,0,0,0
0,104.0,78.0,0.0,13.0,0.0,11.0,2.0,10.0,0.0,-1.0,0,0,0,0,0
0,68.0,48.0,0.0,19.0,0.0,0.0,1.0,10.0,1.0,0.0,0,0,0,0,0
0,29.0,15.0,3.0,5.0,1.0,0.0,5.0,4.0,0.0,-2.0,0,0,0,1,0
0,76.0,58.0,0.0,12.0,0.0,0.0,6.0,10.0,2.0,-2.0,1,0,0,0,0
0,52.0,43.0,0.0,9.0,0.0,0.0,0.0,9.0,5.0,0.0,0,0,0,0,0
0,24.0,16.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,-3.0,0,0,0,0,1
0,53.0,38.0,0.0,10.0,0.0,0.0,5.0,9.0,0.0,-1.0,0,1,0,1,0
1,133.0,96.0,1.0,21.0,0.0,1.0,14.0,17.0,1.0,0.0,0,1,1,0,1
0,94.0,73.0,2.0,17.0,0.0,2.0,0.0,16.0,2.0,0.0,0,0,0,0,0
0,47.0,35.0,0.0,7.0,2.0,0.0,3.0,6.0,0.0,-2.0,0,0,0,0,0
0,26.0,20.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,-3.0,0,0,0,0,0
0,78.0,58.0,0.0,15.0,0.0,0.0,5.0,14.0,0.0,0.0,0,0,0,0,0
1,14.0,8.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0,0,0,1,0
0,23.0,14.0,0.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,0,0,0,0,0
0,71.0,53.0,0.0,14.0,0.0,3.0,1.0,14.0,0.0,0.0,0,0,0,0,0
0,46.0,37.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,0,0,0,0,0
0,25.0,15.0,0.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,0,0,0,0,0
1,48.0,39.0,0.0,7.0,0.0,1.0,1.0,7.0,2.0,0.0,0,1,0,0,1
